       Step     Time          Energy         fmax
GPMin:   27 15:38:31       -4.883083        0.0306
GPMin:   28 15:38:38       -4.885792        0.0212
GPMin:   29 15:38:46       -4.888411        0.0231
GPMin:   30 15:38:54       -4.889094        0.0214
GPMin:   31 15:39:01       -4.889626        0.0185
       Step     Time          Energy         fmax
GPMin:    0 15:39:15       -3.168506        1.3482
GPMin:    1 15:39:25       -4.009861        0.6012
GPMin:    2 15:39:36       -4.288002        0.2561
GPMin:    3 15:39:45       -4.353873        0.0954
GPMin:    4 15:39:53       -4.363122        0.1237
GPMin:    5 15:40:01       -4.376215        0.1068
GPMin:    6 15:40:10       -4.390744        0.1396
GPMin:    7 15:40:19       -4.404609        0.1204
GPMin:    8 15:40:38       -4.450514        0.1011
GPMin:    9 15:40:47       -4.451596        0.0476
GPMin:   10 15:40:57       -4.452380        0.0417
GPMin:   11 15:41:05       -4.453230        0.0327
GPMin:   12 15:41:15       -4.463789        0.0505
GPMin:   13 15:41:25       -4.474077        0.0655
GPMin:   14 15:41:36       -4.495719        0.0776
GPMin:   15 15:41:45       -4.503303        0.0819
GPMin:   16 15:41:55       -4.527500        0.0977
GPMin:   17 15:42:03       -4.531952        0.0984
GPMin:   18 15:42:15       -4.579001        0.2090
GPMin:   19 15:42:35       -4.596018        0.2422
GPMin:   20 15:42:45       -4.666392        0.2250
GPMin:   21 15:42:53       -4.685287        0.2578
GPMin:   22 15:43:03       -4.736514        0.2539
GPMin:   23 15:43:12       -4.790971        0.1948
GPMin:   24 15:43:21       -4.830239        0.1243
GPMin:   25 15:43:29       -4.851753        0.1003
GPMin:   26 15:43:37       -4.866118        0.0877
GPMin:   27 15:43:45       -4.878898        0.0533
GPMin:   28 15:43:54       -4.884443        0.0269
GPMin:   29 15:44:02       -4.885654        0.0368
GPMin:   30 15:44:10       -4.887703        0.0257
GPMin:   31 15:44:16       -4.888239        0.0174
       Step     Time          Energy         fmax
GPMin:    0 15:44:31       -3.176322        1.3471
GPMin:    1 15:44:41       -4.015209        0.6006
GPMin:    2 15:44:51       -4.291393        0.2557
