       Step     Time          Energy         fmax
GPMin:    2 17:13:16       -4.437513        0.0885
GPMin:    3 17:13:26       -4.463687        0.1045
GPMin:    4 17:13:36       -4.499111        0.1066
GPMin:    5 17:13:47       -4.537286        0.1255
GPMin:    6 17:13:58       -4.586641        0.1239
GPMin:    7 17:14:09       -4.626139        0.1072
GPMin:    8 17:14:20       -4.651226        0.0998
GPMin:    9 17:14:29       -4.670510        0.0922
GPMin:   10 17:14:37       -4.692966        0.0818
GPMin:   11 17:14:46       -4.715943        0.0740
GPMin:   12 17:14:55       -4.741872        0.0747
GPMin:   13 17:15:04       -4.769761        0.0750
GPMin:   14 17:15:13       -4.800831        0.0762
GPMin:   15 17:15:23       -4.831512        0.0735
GPMin:   16 17:15:32       -4.860886        0.0733
GPMin:   17 17:15:41       -4.884429        0.0742
GPMin:   18 17:15:49       -4.900461        0.0661
GPMin:   19 17:15:58       -4.912110        0.0551
GPMin:   20 17:16:07       -4.921191        0.0445
GPMin:   21 17:16:15       -4.926421        0.0466
GPMin:   22 17:16:24       -4.930612        0.0316
GPMin:   23 17:16:33       -4.932405        0.0186
       Step     Time          Energy         fmax
GPMin:    0 17:16:49       -4.567645        0.2322
GPMin:    1 17:17:01       -4.704971        0.1903
GPMin:    2 17:17:12       -4.784345        0.1493
GPMin:    3 17:17:22       -4.835706        0.1089
GPMin:    4 17:17:32       -4.866808        0.0687
GPMin:    5 17:17:42       -4.883996        0.0743
GPMin:    6 17:17:50       -4.902196        0.0613
GPMin:    7 17:17:59       -4.915577        0.0500
GPMin:    8 17:18:07       -4.925132        0.0393
GPMin:    9 17:18:16       -4.930614        0.0232
GPMin:   10 17:18:24       -4.932635        0.0149
       Step     Time          Energy         fmax
GPMin:    0 17:18:38       -4.285468        0.2146
GPMin:    1 17:18:48       -4.391301        0.2148
GPMin:    2 17:18:58       -4.465065        0.0921
GPMin:    3 17:19:07       -4.478909        0.0470
GPMin:    4 17:19:15       -4.485466        0.0502
GPMin:    5 17:19:23       -4.509554        0.0834
GPMin:    6 17:19:32       -4.559575        0.1017
GPMin:    7 17:19:41       -4.624982        0.1495
GPMin:    8 17:19:50       -4.700835        0.1726
GPMin:    9 17:19:58       -4.775735        0.1690
GPMin:   10 17:20:07       -4.828909        0.1284
GPMin:   11 17:20:16       -4.858095        0.0951
GPMin:   12 17:20:25       -4.880147        0.1215
GPMin:   13 17:20:34       -4.904794        0.0779
GPMin:   14 17:20:41       -4.920428        0.0512
GPMin:   15 17:20:49       -4.927112        0.0359
GPMin:   16 17:20:57       -4.929779        0.0326
GPMin:   17 17:21:05       -4.931317        0.0184
       Step     Time          Energy         fmax
GPMin:    0 17:21:19       -4.341470        0.2491
GPMin:    1 17:21:30       -4.429360        0.1516
GPMin:    2 17:21:39       -4.466685        0.0473
GPMin:    3 17:21:47       -4.470047        0.0252
GPMin:    4 17:21:54       -4.470546        0.0111
       Step     Time          Energy         fmax
GPMin:    0 17:22:10       -3.957106        0.6184
GPMin:    1 17:22:23       -4.144727        0.2132
GPMin:    2 17:22:34       -4.244883        0.1562
GPMin:    3 17:22:43       -4.317706        0.1718
GPMin:    4 17:22:53       -4.363602        0.1802
GPMin:    5 17:23:03       -4.411853        0.1797
GPMin:    6 17:23:12       -4.446345        0.1795
GPMin:    7 17:23:21       -4.468442        0.1767
GPMin:    8 17:23:31       -4.519746        0.3243
GPMin:    9 17:23:40       -4.543831        0.2379
GPMin:   10 17:23:50       -4.599228        0.1505
GPMin:   11 17:23:59       -4.632562        0.1130
GPMin:   12 17:24:08       -4.667880        0.0987
GPMin:   13 17:24:16       -4.697270        0.0873
GPMin:   14 17:24:25       -4.721914        0.0774
GPMin:   15 17:24:33       -4.743578        0.0665
GPMin:   16 17:24:41       -4.761174        0.0569
GPMin:   17 17:24:48       -4.777312        0.0465
GPMin:   18 17:24:56       -4.789701        0.0354
GPMin:   19 17:25:04       -4.797299        0.0293
GPMin:   20 17:25:12       -4.801941        0.0237
GPMin:   21 17:25:20       -4.804416        0.0216
GPMin:   22 17:25:27       -4.805618        0.0221
GPMin:   23 17:25:35       -4.807350        0.0261
GPMin:   24 17:25:43       -4.809872        0.0281
GPMin:   25 17:25:52       -4.814373        0.0334
GPMin:   26 17:26:01       -4.820070        0.0411
