      Step     Time          Energy         fmax
BFGS:    0 14:04:42       14.380499       35.0125
BFGS:    1 14:04:42       -0.690176       10.0545
BFGS:    2 14:04:42       -2.434706        5.8229
BFGS:    3 14:04:43       -3.254387        2.4464
BFGS:    4 14:04:43       -3.628901        1.0738
BFGS:    5 14:04:43       -3.758094        0.5623
BFGS:    6 14:04:43       -3.799694        0.4563
BFGS:    7 14:04:43       -3.826619        0.4770
BFGS:    8 14:04:43       -3.866285        0.5336
BFGS:    9 14:04:43       -3.914952        0.5424
BFGS:   10 14:04:43       -3.948398        0.5253
BFGS:   11 14:04:44       -3.986446        0.3943
BFGS:   12 14:04:44       -3.993274        0.3479
BFGS:   13 14:04:44       -4.008573        0.2400
BFGS:   14 14:04:44       -4.029173        0.2133
BFGS:   15 14:04:44       -4.036941        0.1945
BFGS:   16 14:04:44       -4.039242        0.1643
BFGS:   17 14:04:44       -4.041925        0.1664
BFGS:   18 14:04:44       -4.046094        0.1656
BFGS:   19 14:04:44       -4.048479        0.1490
BFGS:   20 14:04:45       -4.049629        0.1169
BFGS:   21 14:04:45       -4.050699        0.1047
BFGS:   22 14:04:45       -4.052469        0.1301
BFGS:   23 14:04:45       -4.055156        0.1718
BFGS:   24 14:04:45       -4.058850        0.2150
BFGS:   25 14:04:45       -4.064674        0.3062
BFGS:   26 14:04:45       -4.079031        0.6071
BFGS:   27 14:04:45       -4.110585        0.9993
BFGS:   28 14:04:46       -3.831847        2.7031
BFGS:   29 14:04:46       -4.207299        0.7408
BFGS:   30 14:04:46       -4.368497        1.0072
BFGS:   31 14:04:46       -4.444302        1.3535
BFGS:   32 14:04:46       -4.488021        1.0503
BFGS:   33 14:04:46       -4.557256        0.7700
BFGS:   34 14:04:46       -4.631344        0.6452
BFGS:   35 14:04:46       -4.653508        0.2274
BFGS:   36 14:04:46       -4.659163        0.1914
BFGS:   37 14:04:47       -4.662005        0.1963
BFGS:   38 14:04:47       -4.664988        0.1834
BFGS:   39 14:04:47       -4.701554        0.4518
BFGS:   40 14:04:47       -4.766840        0.9119
BFGS:   41 14:04:47       -4.755455        1.2204
BFGS:   42 14:04:47       -4.811732        0.6710
BFGS:   43 14:04:47       -4.832834        0.5812
BFGS:   44 14:04:47       -4.871774        0.6353
BFGS:   45 14:04:47       -4.890605        0.4571
BFGS:   46 14:04:48       -4.910395        0.4705
BFGS:   47 14:04:48       -4.937533        0.3482
BFGS:   48 14:04:48       -4.953188        0.1825
BFGS:   49 14:04:48       -4.960438        0.1755
BFGS:   50 14:04:48       -4.961886        0.1414
BFGS:   51 14:04:48       -4.964911        0.1298
BFGS:   52 14:04:48       -4.967287        0.1522
BFGS:   53 14:04:48       -4.972778        0.2457
BFGS:   54 14:04:49       -4.977666        0.2800
BFGS:   55 14:04:49       -4.986077        0.2898
BFGS:   56 14:04:49       -5.000828        0.4219
BFGS:   57 14:04:49       -5.028353        0.6325
BFGS:   58 14:04:49       -5.055997        0.8062
BFGS:   59 14:04:49       -5.071160        0.9936
BFGS:   60 14:04:49       -5.176072        0.8274
BFGS:   61 14:04:49       -5.256253        0.7203
BFGS:   62 14:04:49       -5.311395        0.3279
BFGS:   63 14:04:50       -5.321596        0.2429
BFGS:   64 14:04:50       -5.326267        0.2654
BFGS:   65 14:04:50       -5.332034        0.2656
BFGS:   66 14:04:50       -5.355108        0.2341
BFGS:   67 14:04:50       -5.362926        0.2113
BFGS:   68 14:04:50       -5.366404        0.1803
BFGS:   69 14:04:50       -5.368437        0.1470
BFGS:   70 14:04:50       -5.371442        0.1485
BFGS:   71 14:04:50       -5.377636        0.2193
BFGS:   72 14:04:51       -5.384206        0.2878
BFGS:   73 14:04:51       -5.392218        0.2975
BFGS:   74 14:04:51       -5.401821        0.4189
BFGS:   75 14:04:51       -5.424225        0.6583
BFGS:   76 14:04:51       -5.439695        0.8437
BFGS:   77 14:04:51       -5.465465        0.7018
BFGS:   78 14:04:51       -5.509835        0.4384
BFGS:   79 14:04:51       -5.456620        0.8726
BFGS:   80 14:04:52       -5.557477        0.3147
BFGS:   81 14:04:52       -5.569906        0.1797
BFGS:   82 14:04:52       -5.585139        0.2401
BFGS:   83 14:04:52       -5.591370        0.2071
BFGS:   84 14:04:52       -5.605502        0.3296
BFGS:   85 14:04:52       -5.620499        0.5005
BFGS:   86 14:04:52       -5.635784        0.2565
BFGS:   87 14:04:52       -5.645531        0.1515
BFGS:   88 14:04:52       -5.651247        0.0636
BFGS:   89 14:04:53       -5.652189        0.0472
      Step     Time          Energy         fmax
BFGS:    0 14:04:53       12.745101       36.4748
BFGS:    1 14:04:53       -0.428786       12.0392
BFGS:    2 14:04:53       -2.446341        6.1360
BFGS:    3 14:04:53       -3.345890        2.9480
BFGS:    4 14:04:53       -3.680357        1.5493
BFGS:    5 14:04:53       -3.820009        0.7410
BFGS:    6 14:04:53       -3.860188        0.4536
BFGS:    7 14:04:53       -3.880383        0.4873
BFGS:    8 14:04:53       -3.900019        0.5108
BFGS:    9 14:04:53       -3.922746        0.4883
BFGS:   10 14:04:54       -3.943928        0.4296
BFGS:   11 14:04:54       -3.960678        0.5028
BFGS:   12 14:04:54       -3.973981        0.4663
BFGS:   13 14:04:54       -3.990148        0.2908
BFGS:   14 14:04:54       -4.002751        0.1856
BFGS:   15 14:04:54       -4.007397        0.1725
BFGS:   16 14:04:54       -4.009296        0.1675
BFGS:   17 14:04:54       -4.012474        0.1646
BFGS:   18 14:04:55       -4.017228        0.1727
BFGS:   19 14:04:55       -4.021230        0.1861
BFGS:   20 14:04:55       -4.023573        0.1876
BFGS:   21 14:04:55       -4.026467        0.1888
BFGS:   22 14:04:55       -4.031953        0.2559
BFGS:   23 14:04:55       -4.053173        0.5430
BFGS:   24 14:04:55       -4.107922        1.0968
BFGS:   25 14:04:55       -4.139984        1.1670
BFGS:   26 14:04:55       -4.166612        0.9581
BFGS:   27 14:04:56       -4.199741        0.9212
BFGS:   28 14:04:56       -4.210879        1.2062
BFGS:   29 14:04:56       -4.293461        0.3355
BFGS:   30 14:04:56       -4.300560        0.3191
BFGS:   31 14:04:56       -4.310392        0.3238
BFGS:   32 14:04:56       -4.317702        0.3084
BFGS:   33 14:04:56       -4.340949        0.2405
BFGS:   34 14:04:56       -4.352330        0.2246
BFGS:   35 14:04:57       -4.356733        0.1880
BFGS:   36 14:04:57       -4.358196        0.1601
BFGS:   37 14:04:57       -4.361544        0.0991
BFGS:   38 14:04:57       -4.363403        0.1121
BFGS:   39 14:04:57       -4.367088        0.1760
BFGS:   40 14:04:57       -4.369593        0.2219
BFGS:   41 14:04:57       -4.373501        0.2835
BFGS:   42 14:04:57       -4.380467        0.3649
BFGS:   43 14:04:57       -4.396662        0.4796
BFGS:   44 14:04:58       -4.424264        0.7766
BFGS:   45 14:04:58       -4.447674        1.0668
BFGS:   46 14:04:58       -4.462544        1.1842
BFGS:   47 14:04:58       -4.492177        1.1801
BFGS:   48 14:04:58       -4.619431        1.1178
BFGS:   49 14:04:58       -4.601619        1.4111
BFGS:   50 14:04:58       -4.723813        1.1150
BFGS:   51 14:04:58       -4.790178        0.9655
BFGS:   52 14:04:58       -4.814394        0.7610
BFGS:   53 14:04:59       -4.834191        0.6989
BFGS:   54 14:04:59       -4.843008        0.6653
BFGS:   55 14:04:59       -4.857094        0.6252
BFGS:   56 14:04:59       -4.867052        0.5822
BFGS:   57 14:04:59       -4.893244        0.5799
BFGS:   58 14:04:59       -4.919527        0.5789
BFGS:   59 14:04:59       -4.960180        0.7221
BFGS:   60 14:04:59       -5.045764        1.0429
BFGS:   61 14:05:00       -5.108471        0.8184
BFGS:   62 14:05:00       -5.143593        1.0550
BFGS:   63 14:05:00       -5.194260        0.8299
BFGS:   64 14:05:00       -5.202083        0.6058
BFGS:   65 14:05:00       -5.211476        0.6691
BFGS:   66 14:05:00       -5.214941        0.6894
BFGS:   67 14:05:00       -5.222727        0.7586
BFGS:   68 14:05:00       -5.228238        0.8206
BFGS:   69 14:05:00       -5.230578        0.8104
BFGS:   70 14:05:01       -5.237198        0.7774
BFGS:   71 14:05:01       -5.245051        0.7411
BFGS:   72 14:05:01       -5.259039        0.6759
BFGS:   73 14:05:01       -5.265994        0.6473
BFGS:   74 14:05:01       -5.270147        0.6530
BFGS:   75 14:05:01       -5.273807        0.6710
BFGS:   76 14:05:01       -5.280628        0.6954
BFGS:   77 14:05:01       -5.297749        0.7386
BFGS:   78 14:05:02       -5.341553        0.8144
BFGS:   79 14:05:02       -5.383201        0.8753
BFGS:   80 14:05:02       -5.402428        0.8708
BFGS:   81 14:05:02       -5.431963        0.8494
BFGS:   82 14:05:02       -5.520103        0.7870
BFGS:   83 14:05:02       -5.575215        0.6683
BFGS:   84 14:05:02       -5.619993        0.4286
BFGS:   85 14:05:02       -5.636746        0.2276
BFGS:   86 14:05:02       -5.641409        0.3710
BFGS:   87 14:05:03       -5.643768        0.2792
BFGS:   88 14:05:03       -5.644469        0.2536
BFGS:   89 14:05:03       -5.644949        0.2502
BFGS:   90 14:05:03       -5.645272        0.2460
BFGS:   91 14:05:03       -5.645381        0.2432
BFGS:   92 14:05:03       -5.646008        0.2259
BFGS:   93 14:05:03       -5.646736        0.2020
BFGS:   94 14:05:03       -5.647947        0.1598
BFGS:   95 14:05:04       -5.649069        0.1279
BFGS:   96 14:05:04       -5.649893        0.1069
BFGS:   97 14:05:04       -5.650392        0.0975
BFGS:   98 14:05:04       -5.650935        0.0880
BFGS:   99 14:05:04       -5.651752        0.0698
BFGS:  100 14:05:04       -5.652282        0.0335
      Step     Time          Energy         fmax
BFGS:    0 14:05:04       13.539004       25.5717
BFGS:    1 14:05:04        0.842999       11.7013
BFGS:    2 14:05:04       -1.532222        4.8998
BFGS:    3 14:05:04       -2.506195        2.1582
BFGS:    4 14:05:04       -2.918960        0.9768
BFGS:    5 14:05:05       -3.051287        0.4742
BFGS:    6 14:05:05       -3.078153        0.2907
BFGS:    7 14:05:05       -3.083673        0.2263
BFGS:    8 14:05:05       -3.087598        0.1803
BFGS:    9 14:05:05       -3.093637        0.2022
BFGS:   10 14:05:05       -3.098645        0.2211
BFGS:   11 14:05:05       -3.101546        0.2039
BFGS:   12 14:05:05       -3.104204        0.2238
BFGS:   13 14:05:05       -3.107743        0.2385
BFGS:   14 14:05:06       -3.115218        0.2870
BFGS:   15 14:05:06       -3.132107        0.5069
BFGS:   16 14:05:06       -3.177055        0.9796
BFGS:   17 14:05:06       -3.283014        1.0579
BFGS:   18 14:05:06       -3.478124        0.6707
BFGS:   19 14:05:06       -3.672428        0.8547
BFGS:   20 14:05:06       -3.865180        1.0117
BFGS:   21 14:05:06       -3.969786        1.1973
BFGS:   22 14:05:07       -4.083981        1.0589
BFGS:   23 14:05:07       -4.472844        0.9078
BFGS:   24 14:05:07       -4.532211        1.9994
BFGS:   25 14:05:07       -4.627728        1.2207
BFGS:   26 14:05:07       -4.662157        0.8657
BFGS:   27 14:05:07       -4.718886        0.7357
BFGS:   28 14:05:07       -4.745962        0.4345
BFGS:   29 14:05:07       -4.756542        0.4083
BFGS:   30 14:05:07       -4.794013        0.5928
BFGS:   31 14:05:08       -4.808760        0.5140
BFGS:   32 14:05:08       -4.884236        0.6762
BFGS:   33 14:05:08       -4.962116        0.9105
BFGS:   34 14:05:08       -5.009658        1.2156
BFGS:   35 14:05:08       -5.069243        0.9216
BFGS:   36 14:05:08       -5.170064        0.8491
BFGS:   37 14:05:08       -5.239556        1.3317
BFGS:   38 14:05:08       -5.279377        0.5044
BFGS:   39 14:05:09       -5.296510        0.3503
BFGS:   40 14:05:09       -5.309083        0.5337
BFGS:   41 14:05:09       -5.318071        0.4776
BFGS:   42 14:05:09       -5.359605        0.3116
BFGS:   43 14:05:09       -5.367029        0.2637
BFGS:   44 14:05:09       -5.372078        0.2137
BFGS:   45 14:05:09       -5.374583        0.1690
BFGS:   46 14:05:09       -5.377702        0.1590
BFGS:   47 14:05:09       -5.381393        0.1770
BFGS:   48 14:05:10       -5.384043        0.2160
BFGS:   49 14:05:10       -5.385899        0.2195
BFGS:   50 14:05:10       -5.388634        0.1993
BFGS:   51 14:05:10       -5.414374        0.4851
BFGS:   52 14:05:10       -5.547111        0.5164
BFGS:   53 14:05:10       -5.674055        0.6147
BFGS:   54 14:05:10       -5.690510        0.5945
BFGS:   55 14:05:10       -5.717418        0.5238
BFGS:   56 14:05:11       -5.740515        0.4859
