# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    6.450000    -0.0000000000e+00     9.3699852792e-02     0.0000000000e+00
    6.500000    -0.0000000000e+00     6.8424407030e-02     0.0000000000e+00
    6.550000    -0.0000000000e+00     4.5289479846e-02     0.0000000000e+00
    6.600000    -0.0000000000e+00     3.4426259653e-02    -0.0000000000e+00
    6.650000    -0.0000000000e+00     3.2692454840e-02    -0.0000000000e+00
    6.700000    -0.0000000000e+00     3.0439767005e-02    -0.0000000000e+00
    6.750000    -0.0000000000e+00     3.7112402350e-02    -0.0000000000e+00
    6.800000    -0.0000000000e+00     5.2883051464e-02    -0.0000000000e+00
    6.850000    -0.0000000000e+00     6.4741624749e-02    -0.0000000000e+00
    6.900000    -0.0000000000e+00     8.2881292001e-02    -0.0000000000e+00
    6.950000     0.0000000000e+00     1.0633681863e-01     0.0000000000e+00
    7.000000     0.0000000000e+00     1.0438930443e-01     0.0000000000e+00
    7.050000     0.0000000000e+00     8.3715955304e-02    -0.0000000000e+00
    7.100000     0.0000000000e+00     6.7608537184e-02    -0.0000000000e+00
    7.150000    -0.0000000000e+00     5.1781282097e-02    -0.0000000000e+00
    7.200000    -0.0000000000e+00     3.7282069561e-02     0.0000000000e+00
    7.250000    -0.0000000000e+00     2.5675312897e-02     0.0000000000e+00
    7.300000     0.0000000000e+00     1.6016690814e-02     0.0000000000e+00
    7.350000     0.0000000000e+00     1.4225247248e-02     0.0000000000e+00
    7.400000     0.0000000000e+00     1.8631167405e-02     0.0000000000e+00
    7.450000     0.0000000000e+00     2.1680562113e-02     0.0000000000e+00
    7.500000     0.0000000000e+00     2.2924132276e-02     0.0000000000e+00
    7.550000     0.0000000000e+00     2.5982658528e-02     0.0000000000e+00
    7.600000    -0.0000000000e+00     3.0697573959e-02    -0.0000000000e+00
    7.650000     0.0000000000e+00     2.9970443265e-02    -0.0000000000e+00
    7.700000     0.0000000000e+00     2.1882022039e-02     0.0000000000e+00
    7.750000     0.0000000000e+00     1.5003752639e-02     0.0000000000e+00
    7.800000    -0.0000000000e+00     1.2371844312e-02     0.0000000000e+00
    7.850000    -0.0000000000e+00     1.1960092598e-02     0.0000000000e+00
    7.900000    -0.0000000000e+00     1.2921993753e-02     0.0000000000e+00
    7.950000    -0.0000000000e+00     1.8630650858e-02     0.0000000000e+00
    8.000000    -0.0000000000e+00     2.7079516128e-02    -0.0000000000e+00
    8.050000     0.0000000000e+00     3.1262002004e-02    -0.0000000000e+00
    8.100000     0.0000000000e+00     2.9232120303e-02    -0.0000000000e+00
    8.150000     0.0000000000e+00     2.3732517684e-02     0.0000000000e+00
    8.200000     0.0000000000e+00     1.7744516858e-02    -0.0000000000e+00
    8.250000     0.0000000000e+00     1.6701938471e-02    -0.0000000000e+00
    8.300000     0.0000000000e+00     2.3062321185e-02    -0.0000000000e+00
    8.350000     0.0000000000e+00     2.7882411458e-02     0.0000000000e+00
    8.400000     0.0000000000e+00     2.7590304855e-02     0.0000000000e+00
    8.450000     0.0000000000e+00     2.4429813337e-02     0.0000000000e+00
    8.500000     0.0000000000e+00     1.9672726367e-02     0.0000000000e+00
    8.550000     0.0000000000e+00     1.4548230951e-02     0.0000000000e+00
    8.600000     0.0000000000e+00     1.2582481724e-02     0.0000000000e+00
    8.650000     0.0000000000e+00     1.5594554128e-02    -0.0000000000e+00
    8.700000     0.0000000000e+00     1.8614874099e-02    -0.0000000000e+00
    8.750000    -0.0000000000e+00     1.6663605958e-02     0.0000000000e+00
    8.800000    -0.0000000000e+00     1.1402093337e-02     0.0000000000e+00
    8.850000    -0.0000000000e+00     8.9576124980e-03     0.0000000000e+00
    8.900000    -0.0000000000e+00     1.0068898352e-02     0.0000000000e+00
    8.950000    -0.0000000000e+00     1.1548249234e-02     0.0000000000e+00
    9.000000    -0.0000000000e+00     1.1502938531e-02     0.0000000000e+00
    9.050000    -0.0000000000e+00     1.2564938052e-02    -0.0000000000e+00
    9.100000     0.0000000000e+00     1.5777015556e-02     0.0000000000e+00
    9.150000     0.0000000000e+00     1.8150987497e-02     0.0000000000e+00
    9.200000     0.0000000000e+00     1.7717383994e-02     0.0000000000e+00
    9.250000     0.0000000000e+00     1.7006684193e-02     0.0000000000e+00
    9.300000     0.0000000000e+00     1.6150171686e-02    -0.0000000000e+00
    9.350000     0.0000000000e+00     1.2656399246e-02     0.0000000000e+00
    9.400000     0.0000000000e+00     9.4739824261e-03     0.0000000000e+00
    9.450000     0.0000000000e+00     8.7345119046e-03     0.0000000000e+00
    9.500000     0.0000000000e+00     1.0846492235e-02     0.0000000000e+00
    9.550000     0.0000000000e+00     1.3632055241e-02     0.0000000000e+00
    9.600000     0.0000000000e+00     1.4149391871e-02     0.0000000000e+00
    9.650000    -0.0000000000e+00     1.2149204650e-02     0.0000000000e+00
    9.700000    -0.0000000000e+00     1.0357937832e-02     0.0000000000e+00
    9.750000     0.0000000000e+00     9.3503856022e-03    -0.0000000000e+00
    9.800000     0.0000000000e+00     8.4585474814e-03    -0.0000000000e+00
    9.850000     0.0000000000e+00     8.6654322972e-03    -0.0000000000e+00
    9.900000    -0.0000000000e+00     1.1628545463e-02    -0.0000000000e+00
    9.950000    -0.0000000000e+00     1.7188977485e-02    -0.0000000000e+00
