# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
   10.700000     0.0000000000e+00     0.0000000000e+00     1.4529929245e-02
   10.750000     0.0000000000e+00     0.0000000000e+00     1.2128315380e-02
   10.800000     0.0000000000e+00     0.0000000000e+00     8.8028777304e-03
   10.850000     0.0000000000e+00     0.0000000000e+00     6.8511896213e-03
   10.900000    -0.0000000000e+00     0.0000000000e+00     6.7597562237e-03
   10.950000    -0.0000000000e+00     0.0000000000e+00     7.0798235309e-03
   11.000000    -0.0000000000e+00     0.0000000000e+00     9.0833628573e-03
   11.050000     0.0000000000e+00    -0.0000000000e+00     9.8135875360e-03
   11.100000    -0.0000000000e+00    -0.0000000000e+00     1.0594304213e-02
   11.150000    -0.0000000000e+00    -0.0000000000e+00     1.3182988816e-02
   11.200000    -0.0000000000e+00    -0.0000000000e+00     1.6503948066e-02
   11.250000     0.0000000000e+00    -0.0000000000e+00     1.7761439926e-02
   11.300000    -0.0000000000e+00    -0.0000000000e+00     1.5881140841e-02
   11.350000    -0.0000000000e+00     0.0000000000e+00     1.5576850396e-02
   11.400000    -0.0000000000e+00     0.0000000000e+00     1.7261812053e-02
   11.450000    -0.0000000000e+00     0.0000000000e+00     1.8490966500e-02
   11.500000     0.0000000000e+00     0.0000000000e+00     1.7566184212e-02
   11.550000     0.0000000000e+00     0.0000000000e+00     1.9635142392e-02
   11.600000     0.0000000000e+00     0.0000000000e+00     2.2397619523e-02
   11.650000     0.0000000000e+00     0.0000000000e+00     2.4098007320e-02
   11.700000     0.0000000000e+00     0.0000000000e+00     2.4894037456e-02
   11.750000    -0.0000000000e+00     0.0000000000e+00     2.4416635464e-02
   11.800000    -0.0000000000e+00     0.0000000000e+00     2.1549888028e-02
   11.850000    -0.0000000000e+00     0.0000000000e+00     1.7918611877e-02
   11.900000    -0.0000000000e+00    -0.0000000000e+00     1.7577696103e-02
   11.950000     0.0000000000e+00    -0.0000000000e+00     1.8992826726e-02
   12.000000     0.0000000000e+00     0.0000000000e+00     2.2142506123e-02
   12.050000    -0.0000000000e+00     0.0000000000e+00     2.5203134044e-02
   12.100000    -0.0000000000e+00     0.0000000000e+00     2.6971073247e-02
   12.150000    -0.0000000000e+00     0.0000000000e+00     2.4974748590e-02
   12.200000    -0.0000000000e+00     0.0000000000e+00     2.2623260458e-02
   12.250000     0.0000000000e+00     0.0000000000e+00     2.0533461320e-02
   12.300000     0.0000000000e+00    -0.0000000000e+00     1.8416173149e-02
   12.350000    -0.0000000000e+00    -0.0000000000e+00     1.6177316849e-02
   12.400000     0.0000000000e+00     0.0000000000e+00     1.4723082624e-02
   12.450000     0.0000000000e+00     0.0000000000e+00     1.3973460716e-02
   12.500000     0.0000000000e+00     0.0000000000e+00     1.1901437706e-02
   12.550000     0.0000000000e+00     0.0000000000e+00     1.1343034656e-02
   12.600000     0.0000000000e+00    -0.0000000000e+00     1.0465570569e-02
   12.650000     0.0000000000e+00    -0.0000000000e+00     8.2913554004e-03
   12.700000     0.0000000000e+00    -0.0000000000e+00     4.7418875359e-03
   12.750000     0.0000000000e+00    -0.0000000000e+00     4.6454460387e-03
   12.800000     0.0000000000e+00    -0.0000000000e+00     6.9682123114e-03
   12.850000     0.0000000000e+00    -0.0000000000e+00     8.0639359292e-03
   12.900000     0.0000000000e+00    -0.0000000000e+00     9.2129214777e-03
   12.950000     0.0000000000e+00    -0.0000000000e+00     1.2818201906e-02
   13.000000     0.0000000000e+00    -0.0000000000e+00     1.5300996212e-02
   13.050000     0.0000000000e+00    -0.0000000000e+00     1.3564468648e-02
   13.100000     0.0000000000e+00    -0.0000000000e+00     1.1648700702e-02
   13.150000     0.0000000000e+00    -0.0000000000e+00     1.1312704807e-02
   13.200000     0.0000000000e+00     0.0000000000e+00     1.4658092031e-02
   13.250000     0.0000000000e+00     0.0000000000e+00     1.7186774031e-02
   13.300000     0.0000000000e+00    -0.0000000000e+00     1.6826776243e-02
   13.350000    -0.0000000000e+00    -0.0000000000e+00     1.4067624968e-02
   13.400000     0.0000000000e+00    -0.0000000000e+00     1.4868062730e-02
   13.450000     0.0000000000e+00     0.0000000000e+00     1.9339413964e-02
   13.500000    -0.0000000000e+00     0.0000000000e+00     2.0767361366e-02
   13.550000    -0.0000000000e+00     0.0000000000e+00     1.7851902449e-02
   13.600000    -0.0000000000e+00     0.0000000000e+00     1.4628875291e-02
   13.650000    -0.0000000000e+00    -0.0000000000e+00     1.4353573068e-02
   13.700000    -0.0000000000e+00    -0.0000000000e+00     1.3727562212e-02
   13.750000    -0.0000000000e+00    -0.0000000000e+00     1.3562686253e-02
