# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        311.30054128       2.95596880e-15    -1.375646161595e-03     1.941614138178e-03     3.566492418185e-03
        312.54078248       2.53963517e-15    -1.332360819549e-03     1.941314739494e-03     3.569425235844e-03
        313.78102368       1.51267887e-15    -1.287730763050e-03     1.941066590033e-03     3.572192902218e-03
        315.02126488       1.83186799e-15    -1.242284834765e-03     1.940877527596e-03     3.574787570407e-03
        316.26150608       5.55111512e-17    -1.196532613546e-03     1.940759482383e-03     3.577187040155e-03
        317.50174728       1.80411242e-15    -1.150873532622e-03     1.940717246099e-03     3.579388193820e-03
        318.74198848       2.38697950e-15    -1.105800938060e-03     1.940729917481e-03     3.581348812112e-03
        319.98222968       1.37390099e-15    -1.061964711628e-03     1.940769649257e-03     3.582990691281e-03
        321.22247088       1.80411242e-15    -1.019900905374e-03     1.940838358720e-03     3.584259473416e-03
        322.46271208      -4.71844785e-16    -9.800802773636e-04     1.940939038399e-03     3.585149683469e-03
        323.70295329       7.77156117e-16    -9.431035081193e-04     1.941073903097e-03     3.585679027232e-03
        324.94319449      -4.16333634e-16    -9.095773121364e-04     1.941251929881e-03     3.585850794232e-03
        326.18343569      -2.02615702e-15    -8.798833716148e-04     1.941460157165e-03     3.585638007464e-03
        327.42367689       2.78943535e-15    -8.544223811735e-04     1.941664917811e-03     3.585012564502e-03
        328.66391809       3.46944695e-16    -8.336773575834e-04     1.941890342604e-03     3.583987321592e-03
        329.90415929       6.10622664e-16    -8.179288596653e-04     1.942160417973e-03     3.582596960631e-03
        331.14440049       5.55111512e-17    -8.072891891788e-04     1.942461238567e-03     3.580885506785e-03
        332.38464169       2.80331314e-15    -8.020157485649e-04     1.942800419267e-03     3.578866614287e-03
        333.62488289       4.24660307e-15    -8.023920429512e-04     1.943196969654e-03     3.576557114896e-03
        334.86512409       1.36002321e-15    -8.084599251927e-04     1.943631535386e-03     3.573978442918e-03
        336.10536529       9.15933995e-16    -8.201306932989e-04     1.944092824139e-03     3.571178054168e-03
        337.34560649      -7.77156117e-16    -8.372576416500e-04     1.944598332265e-03     3.568187345626e-03
        338.58584769       4.49640325e-15    -8.597032395530e-04     1.945129080640e-03     3.565053115714e-03
        339.82608889       2.02615702e-15    -8.873163565903e-04     1.945678913073e-03     3.561832653126e-03
        341.06633009      -9.02056208e-16    -9.198486793527e-04     1.946279020668e-03     3.558545562908e-03
        342.30657129       8.32667268e-17    -9.568708694299e-04     1.946915841388e-03     3.555191341068e-03
        343.54681249       1.09634524e-15    -9.977818369191e-04     1.947534085761e-03     3.551810832271e-03
        344.78705369      -2.47024623e-15    -1.041967312643e-03     1.948121363110e-03     3.548477972297e-03
        346.02729489      -1.83186799e-15    -1.088835005744e-03     1.948695974482e-03     3.545234784550e-03
        347.26753609      -2.63677968e-16    -1.137672766379e-03     1.949248670043e-03     3.542101090385e-03
        348.50777729       2.73392420e-15    -1.187654582940e-03     1.949744664343e-03     3.539093422773e-03
        349.74801849       2.83106871e-15    -1.238068833696e-03     1.950173969432e-03     3.536247324156e-03
        350.98825969       1.66533454e-15    -1.288279061579e-03     1.950537628558e-03     3.533651178888e-03
        352.22850089       1.94289029e-16    -1.337498099906e-03     1.950841861041e-03     3.531391923150e-03
        353.46874209       8.60422844e-16    -1.384922086296e-03     1.951071567222e-03     3.529478431179e-03
        354.70898329      -1.19348975e-15    -1.429824533781e-03     1.951199074385e-03     3.527897429583e-03
        355.94922449       5.23192600e-15    -1.471490014104e-03     1.951194091825e-03     3.526678006334e-03
        357.18946569      -1.52655666e-16    -1.509233345517e-03     1.951046698784e-03     3.525865150814e-03
        358.42970689       1.11022302e-16    -1.542544274280e-03     1.950731810089e-03     3.525492339576e-03
        359.66994809       1.38777878e-16    -1.570901169487e-03     1.950247012807e-03     3.525601366023e-03
